OBJECTID|AGNO|RBD|DGV_RBD|NOM_RBD|TIPO_SOST|COD_REG_RB|NOM_REG_RB|COD_PRO_RB|COD_COM_RB|NOM_COM_RB|COD_DEPROV|NOM_DEPROV|TIPO_DEPEN|DIRECCION|NUMERO|REFERENCIA|LATITUD|LONGITUD|MAT_PARV|MAT_BAS_RE|MAT_BAS_AD|MAT_ESP|MAT_MHC_RE|MAT_MHC_AD|MAT_MTP_RE|MAT_MTP_AD|MAT_TOTAL|MAT_HOM_TO|MAT_MUJ_TO|MAT_SI_TOT|CUR_SIM_TO|CUR_COMB_T
1|2021|8484|0|ESCUELA PUERTO TORO|1|12|MAG|122|12201|CABO DE HORNOS|121|MAGALLANES|1|GABRIELA MISTRAL|24|PUERTO TORO - PUERTO WILLIAMS MEDIO MARITIMO HACIA PUERTO TORO 3 HORAS DE NAVEGACION COMUNA CABO DE HORNOS|-55.083172|-67.076218|0|5|0|0|0|0|0|0|5|4|1|0|4|0
2|2021|8483|2|LICEO BICENTENARIO DONALD MC-INTYRE GRIFFITHS|1|12|MAG|122|12201|CABO DE HORNOS|121|MAGALLANES|1|YELCHO|158|YELCHO N° 158 PUERTO WILLIAMS|-54.934799|-67.605339|55|277|0|0|92|0|0|0|424|212|212|0|15|0
3|2021|24341|8|ESCUELA PAMPA GUANACO|1|12|MAG|123|12303|TIMAUKEL|121|MAGALLANES|1|SECTOR PAMPA GUANACO|0|SECTOR PAMPA GUANACO, TIMAUKEL|-54.052231|-68.802948|0|5|0|0|0|0|0|0|5|0|5|0|0|1
4|2021|8452|2|ESCUELA DE PUERTO HARRIS|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|PUERTO HARRIS - ISLA DAWSON|0|PUERTO HARRIS-ISLA DAWSON|-53.834998999999996|-70.453369|11|41|0|0|0|0|0|0|52|29|23|0|0|2
5|2021|8482|4|ESCUELA IGNACIO CARRERA PINTO|1|12|MAG|123|12303|TIMAUKEL|121|MAGALLANES|1|CAMERON|0|PROVINCIA TIERRA DEL FUEGO    COMUNA TIMAUKEL|-53.63903|-69.64666|3|17|0|0|0|0|0|0|20|11|9|0|2|2
6|2021|8475|1|ESCUELA LIBERTADOR BDO. O´HIGGINS R.|1|12|MAG|123|12301|PORVENIR|121|MAGALLANES|1|CHILOE|606| |-53.296082|-70.37209299999999|61|511|0|0|0|0|0|0|572|295|277|0|20|0
7|2021|40311|3|COLEGIO CAUPOLICAN|1|12|MAG|123|12301|PORVENIR|121|MAGALLANES|2|AVENIDA MANUEL SEÑORET|0|INTERIOR REGIMIENTO REFORZADO Nº11 CAUPOLICÁN,  PORVENIR|-53.295396999999994|-70.354744|0|0|0|0|0|34|0|0|34|34|0|0|2|0
8|2021|16895|5|COLEGIO MARIA AUXILIADORA|1|12|MAG|123|12301|PORVENIR|121|MAGALLANES|2|PADRE MARIO ZAVATTARO|399| |-53.295300000000005|-70.3675|42|247|0|0|0|0|0|0|289|137|152|0|10|0
9|2021|40217|6|ESCUELA ESPECIAL CLUB DE LEONES CRUZ DEL SUR|1|12|MAG|123|12301|PORVENIR|121|MAGALLANES|2|BERNARDO PHILLIPI|42| |-53.293586|-70.369603|0|0|0|26|0|0|0|0|26|16|10|0|2|0
10|2021|8474|3|LICEO POLIVALENTE HERNANDO DE MAGALLANES|1|12|MAG|123|12301|PORVENIR|121|MAGALLANES|1|HERNANDO DE MAGALLANES|618|CALLE MAGALLANES Nº618, ENTRE MUÑOZ GAMERO Y SANTOS MARDONES, LADO SUR Y CALLE ESMERALDA, ENTRE MUÑOZ GAMERO Y SANTOS MARDONES, LADO NORTE.|-53.291278999999996|-70.37312299999999|0|0|0|0|286|39|38|0|363|195|168|0|14|0
11|2021|8448|4|ESCUELA PEDRO SARMIENTO DE GAMBOA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|CAMINO SUR|5.5|CAMINO SUR KM. 5.5|-53.198299|-70.936951|20|154|0|0|0|0|0|0|174|101|73|0|10|0
12|2021|24302|7|ESCUELA GENERAL MANUEL BULNES P.|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|AVENIDA PEDRO AGUIRRE CERDA|35|AV. PEDRO AGUIRRE CERDA ESQUINA CALLE ZENTENO|-53.174350999999994|-70.937737|56|373|0|0|0|0|0|0|429|202|227|0|18|0
13|2021|8434|4|ESCUELA ESPANA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|PASAJE ROBLES|424| |-53.171909|-70.924309|61|312|0|0|0|0|0|0|373|197|176|0|18|0
14|2021|8427|1|LICEO INDUSTRIAL ARMANDO QUEZADA ACHARAN|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|21 DE MAYO|2052|CENTRO, FRENTE  A  LA  COSTANERA LADO  SUR|-53.171378999999995|-70.919434|0|0|0|0|0|0|334|45|379|337|42|0|27|0
15|2021|24305|1|COLEGIO PIERRE FAURE|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|PEREZ DE ARCE|655|ENTRE CHILOE Y COSTANERA 21 DE MAYO  PÉREZ DE ARCE 655 (7º BÁSICO A 4º MEDIO)  BELLAVISTA 697 (1º A 6º BÁSICO)  JOSÉ NOGUEIRA 1775 (PRE ESCOLAR)|-53.16872|-70.91583299999999|67|325|0|0|151|0|0|0|543|265|278|0|18|0
16|2021|40124|2|ESC. ESP. LENG. JOSE GRIMALDI ACOTTO|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|MANUEL SENORET|1857|SEÑORET ENTRE PEREZ DE ARCE Y SERRANO, POBLACIÓN RÍO DE LA MANO|-53.167691|-70.923205|0|0|0|125|0|0|0|0|125|77|48|0|8|0
17|2021|24318|3|ESCUELA PADRE ALBERTO HURTADO CRUCHAGA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|EUSEBIO LILLO|2472|ENTRE CALLES RAMÓN CARNICER Y PABLO DE ROCKA|-53.167179|-70.945503|100|494|0|0|0|0|0|0|594|280|314|0|20|0
18|2021|24311|6|COLEGIO FRANCES|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|21 DE MAYO|1430|SECTOR CENTRO SUR.|-53.16666|-70.91143799999999|48|251|0|0|0|0|0|0|299|154|145|0|13|0
19|2021|8433|6|ESCUELA LIBERTADOR CAP GRAL BDO OHIGGINS|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|CHILOE|1443|CENTRO DE LA CIUDAD|-53.166031|-70.914131|49|353|0|0|0|0|0|0|402|196|206|0|20|0
20|2021|8425|5|LICEO POLIVALENTE MARIA BEHETY DE MENENDEZ|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|ARTURO PRAT|1875|POBLACIÓN 18 DE SEPTIEMBRE|-53.165489|-70.92862699999999|0|0|0|0|178|0|204|0|382|127|255|0|15|0
21|2021|8435|2|ESCUELA DIECIOCHO DE SEPTIEMBRE|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|GASPAR MARIN|140|POB. 18 DE SEPTIEMBRE.PUNTA ARENAS.|-53.165198999999994|-70.92989299999999|44|311|0|0|0|0|0|0|355|186|169|0|18|0
22|2021|16892|0|CENTRO DE ESTUDIO DE LA PATAGONIA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|ROCA|927| |-53.16428|-70.905959|0|0|16|0|0|218|0|0|234|113|121|0|8|0
23|2021|24335|3|ESC. ESP. DE LENGUAJE NUEVO SOL|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|FRANCISCO JAVIER REYNA|182|ESQUINA CALLE MATEO DE TORO Y ZAMBRANO.|-53.163829|-70.929723|0|0|0|162|0|0|0|0|162|98|64|0|12|0
24|2021|8429|8|LICEO LUIS ALBERTO BARRERA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|AVENIDA COLON|1250|AVENIDA COLON ESQUINA QUILLOTA|-53.162608999999996|-70.89787299999999|0|0|0|0|506|0|0|0|506|185|321|0|18|0
25|2021|8430|1|LICEO POLIVALENTE SARA BRAUN|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|AVENIDA COLON|1027|SECTOR CENTRO|-53.162498|-70.901573|0|0|0|0|90|41|51|0|182|42|140|0|11|0
26|2021|8426|3|COLEGIO ANDINO|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|CIRCUNVALACION|2080| |-53.162366|-70.95087199999999|0|0|11|0|0|53|0|0|64|56|8|0|5|0
27|2021|24329|9|LICEO SAN JOSE|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|FAGNANO|550| |-53.161719999999995|-70.91104899999999|98|706|0|0|461|0|0|0|1265|1265|0|0|32|0
28|2021|8424|7|INSTITUTO SUPERIOR DE COMERCIO LICEO BICENTENARIO|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|MAGALLANES|847|ESTA UBICADA EN EL CENTRO DE LA CIUDAD ENTRE AVEND. COLÓN Y JOSÉ MENÉNDEZ|-53.161369|-70.905006|0|59|0|0|0|0|554|69|682|306|376|0|21|0
29|2021|8455|7|LICEO MARIA AUXILIADORA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|AVENIDA COLON|763|AVDA. COLÓN ENTRE BORIES Y MAGALLANES|-53.160858|-70.905998|60|629|0|0|305|0|0|0|994|0|994|0|26|0
30|2021|8463|8|THE BRITISH SCHOOL|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|3|WALDO SEGUEL|454|WALDO SEGUEL 454|-53.160132|-70.911729|136|431|0|0|139|0|0|0|706|379|327|0|15|0
31|2021|24330|2|FUNDACIÓN PARA EL DESARROLLO|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|MARTINEZ DE ALDUNATE|1539|POBLACIÓN 18 DE SEPTIEMBRE|-53.160033|-70.932367|0|0|12|0|0|251|0|0|263|132|131|0|7|0
32|2021|8438|7|ESCUELA REPUBLICA DE CROACIA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|CROACIA|1101|COMERCIO CROSUR|-53.159949999999995|-70.897057|68|476|0|0|0|0|0|0|544|267|277|0|20|0
33|2021|8432|8|CENTRO DE EDUC.INTEGRAL DE ADULTOS CEIA.|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|IGNACIO CARRERA PINTO|781|IGNACIO CARRERA PINTO 781|-53.159551|-70.904254|0|0|43|0|0|271|0|0|314|148|166|0|19|0
34|2021|8457|3|INSTITUTO SAGRADA FAMILIA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|MEJICANA|830| |-53.15844|-70.901337|76|384|0|0|0|0|282|0|742|0|742|0|20|0
35|2021|8443|3|ESCUELA ESPECIAL ROTARIO PAUL HARRIS|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|ANGAMOS|1321| |-53.158409999999996|-70.890681|0|0|0|83|0|0|0|0|83|53|30|0|13|0
36|2021|8458|1|ESCUELA PARTICULAR LA MILAGROSA|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|AVENIDA SALVADOR ALLENDE|845|CALLE EUSEBIO LILLO, ESQUINA SALVADOR ALLENDE|-53.158069999999995|-70.940376|140|840|0|0|278|0|0|0|1258|562|696|0|32|0
37|2021|24324|8|GREEN HILL COLLEGE|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|3|MEJICANA|653| |-53.157824|-70.905434|13|139|0|0|35|0|0|0|187|104|83|0|14|0
38|2021|8436|0|ESCUELA PORTUGAL|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|MEJICANA|527|MEJICANA ESQUINA CON CHILOÉ,CENTRO DE LA CIUDAD.|-53.157340999999995|-70.906639|36|258|0|0|0|0|0|0|294|153|141|0|15|0
39|2021|24342|6|ESCUELA ESPECIAL DE LENGUAJE RAYITO DE LUZ|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|2|AVENIDA SALVADOR ALLENDE|1120|ZONA SUOOESTE DE PUNTA ARENAS  A 2 CUADRAS DE CIRCUNVALACION|-53.15665|-70.943195|0|0|0|58|0|0|0|0|58|31|27|0|4|0
40|2021|8441|7|ESCUELA HERNANDO DE MAGALLANES|1|12|MAG|121|12101|PUNTA ARENAS|121|MAGALLANES|1|JOSE GALINDO|1105| |-53.155578999999996|-70.93137399999999|73|470|0|0|0|0|0|0|543|263|280|0|19|0
