,REGION,COD_BNA,NOMBRE,ESTADO,ESTE_84,NORTE_84,COD_CUEN,COD_SUBC,COD_SSUBC,NOM_SSUBC,NOM_CUEN,NOM_SUBC,CINE_REG,COD_REG,NOM_REG,CINE_PROV,COD_PROV,NOM_PROV,CINE_COM,COD_COM,NOM_COM
0,6,06013001-9,RIO CLARO EN HACIENDA LAS NIEVES,Vigentes,343485,6181505,060,0601,06013,Rio Claro hasta Estero Tipaume,Rio Rapel,Cachapoal Bajo,06,6,Libertador General Bernardo O'Higgins,061,61,Cachapoal,06115,6115,Rengo
1,6,06013005-1,POPETA,Vigentes,336355,6187593,060,0601,06013,Rio Claro hasta Estero Tipaume,Rio Rapel,Cachapoal Bajo,06,6,Libertador General Bernardo O'Higgins,061,61,Cachapoal,06115,6115,Rengo
2,6,06013008-6,LAGUNA LOS CRISTALES,Vigentes,361491,6174592,060,0601,06013,Rio Claro hasta Estero Tipaume,Rio Rapel,Cachapoal Bajo,06,6,Libertador General Bernardo O'Higgins,061,61,Cachapoal,06115,6115,Rengo
3,6,06015003-6,RENGO,Vigentes,330355,6193990,060,0601,06013,Rio Claro hasta Estero Tipaume,Rio Rapel,Cachapoal Bajo,06,6,Libertador General Bernardo O'Higgins,061,61,Cachapoal,06115,6115,Rengo
4,6,06018010-5,MILLAHUE,Vigentes,297435,6177471,060,0601,06018,Estero Zamorano Entre Estero Rigolemu y Rio Cachapoal,Rio Rapel,Cachapoal Bajo,06,6,Libertador General Bernardo O'Higgins,061,61,Cachapoal,06117,6117,San Vicente
5,6,06016004-K,SAN FERNANDO,Vigentes,319619,6169572,060,0601,06016,Estero Zamorano hasta Estero Rigolemu,Rio Rapel,Cachapoal Bajo,06,6,Libertador General Bernardo O'Higgins,063,63,Colchagua,06301,6301,San Fernando
6,6,06023000-5,GLACIAR UNIVERSIDAD EN RIO SAN ANDRES,Vigentes,375542,6157136,060,0602,06023,Rio Azufre hasta Rio Portillo,Rio Rapel,Rio Tinguiririca Alto (Hasta bajo junta Rio Claro),06,6,Libertador General Bernardo O'Higgins,063,63,Colchagua,06301,6301,San Fernando
7,6,06028001-0,RIO TINGUIRIRICA BAJO LOS BRIONES,Vigentes,332766,6156687,060,0602,06028,Rio Tinguiririca Entre Rio Clarillo y Bajo Junta Rio Claro,Rio Rapel,Rio Tinguiririca Alto (Hasta bajo junta Rio Claro),06,6,Libertador General Bernardo O'Higgins,063,63,Colchagua,06301,6301,San Fernando
8,6,06027001-5,RIO CLARO EN EL VALLE,Vigentes,328126,6159512,060,0602,06027,Rio Claro,Rio Rapel,Rio Tinguiririca Alto (Hasta bajo junta Rio Claro),06,6,Libertador General Bernardo O'Higgins,063,63,Colchagua,06301,6301,San Fernando
9,6,06027003-1,LA RUFINA,Vigentes,339635,6154058,060,0602,06027,Rio Claro,Rio Rapel,Rio Tinguiririca Alto (Hasta bajo junta Rio Claro),06,6,Libertador General Bernardo O'Higgins,063,63,Colchagua,06301,6301,San Fernando
